posto,vacina,demanda
TO_1304_Sul,TripliceViral,2053
TO_1103Sul,BCG,2053
TO_1103Sul,HepatiteB,2053
TO_1103Sul,Pentavalente,2053
TO_1103Sul,VIP,2053
TO_1103Sul,VOP,2053
TO_1103Sul,FebreAmarela,2053
TO_1103Sul,TripliceViral,2053
MA_Jose_Carlos,BCG,6807
MA_Jose_Carlos,HepatiteB,6807
MA_Jose_Carlos,Pentavalente,6807
MA_Jose_Carlos,VIP,6807
MA_Jose_Carlos,VOP,6807
MA_Jose_Carlos,FebreAmarela,6807
MA_Jose_Carlos,TripliceViral,6807
MA_Santa_Efigenia,BCG,6807
MA_Santa_Efigenia,HepatiteB,6807
MA_Santa_Efigenia,Pentavalente,6807
MA_Santa_Efigenia,VIP,6807
MA_Santa_Efigenia,VOP,6807
MA_Santa_Efigenia,FebreAmarela,6807
MA_Santa_Efigenia,TripliceViral,6807
PI_Cristo_Rei,BCG,5660
PI_Cristo_Rei,HepatiteB,5660
PI_Cristo_Rei,Pentavalente,5660
PI_Cristo_Rei,VIP,5660
PI_Cristo_Rei,VOP,5660
PI_Cristo_Rei,FebreAmarela,5660
PI_Cristo_Rei,TripliceViral,5660
PI_Santa_Isabel,BCG,5660
PI_Santa_Isabel,HepatiteB,5660
PI_Santa_Isabel,Pentavalente,5660
PI_Santa_Isabel,VIP,5660
PI_Santa_Isabel,VOP,5660
PI_Santa_Isabel,FebreAmarela,5660
PI_Santa_Isabel,TripliceViral,5660
CE_Flavio_Marcilio,BCG,16115
CE_Flavio_Marcilio,HepatiteB,16115
CE_Flavio_Marcilio,Pentavalente,16115
CE_Flavio_Marcilio,VIP,16115
CE_Flavio_Marcilio,VOP,16115
CE_Flavio_Marcilio,FebreAmarela,16115
CE_Flavio_Marcilio,TripliceViral,16115
CE_Antônio_de_Almeida,BCG,16115
CE_Antônio_de_Almeida,HepatiteB,16115
CE_Antônio_de_Almeida,Pentavalente,16115
CE_Antônio_de_Almeida,VIP,16115
CE_Antônio_de_Almeida,VOP,16115
CE_Antônio_de_Almeida,FebreAmarela,16115
CE_Antônio_de_Almeida,TripliceViral,16115
RN_Nova_Natal,BCG,4901
RN_Nova_Natal,HepatiteB,4901
RN_Nova_Natal,Pentavalente,4901
RN_Nova_Natal,VIP,4901
RN_Nova_Natal,VOP,4901
RN_Nova_Natal,FebreAmarela,4901
RN_Nova_Natal,TripliceViral,4901
RN_Vale_Dourado,BCG,4901
RN_Vale_Dourado,HepatiteB,4901
RN_Vale_Dourado,Pentavalente,4901
RN_Vale_Dourado,VIP,4901
RN_Vale_Dourado,VOP,4901
RN_Vale_Dourado,FebreAmarela,4901
RN_Vale_Dourado,TripliceViral,4901
PB_Bessa,BCG,5610
PB_Bessa,HepatiteB,5610
PB_Bessa,Pentavalente,5610
PB_Bessa,VIP,5610
PB_Bessa,VOP,5610
PB_Bessa,FebreAmarela,5610
PB_Bessa,TripliceViral,5610
PB_CMI,BCG,5610
PB_CMI,HepatiteB,5610
PB_CMI,Pentavalente,5610
PB_CMI,VIP,5610
PB_CMI,VOP,5610
PB_CMI,FebreAmarela,5610
PB_CMI,TripliceViral,5610
PE_Fernanda_Wanderley,BCG,9927
PE_Fernanda_Wanderley,HepatiteB,9927
PE_Fernanda_Wanderley,Pentavalente,9927
PE_Fernanda_Wanderley,VIP,9927
PE_Fernanda_Wanderley,VOP,9927
PE_Fernanda_Wanderley,FebreAmarela,9927
PE_Fernanda_Wanderley,TripliceViral,9927
PE_Dom_Miguel,BCG,9927
PE_Dom_Miguel,HepatiteB,9927
PE_Dom_Miguel,Pentavalente,9927
PE_Dom_Miguel,VIP,9927
PE_Dom_Miguel,VOP,9927
PE_Dom_Miguel,FebreAmarela,9927
PE_Dom_Miguel,TripliceViral,9927
AL_Joao_Sampaio,BCG,6218
AL_Joao_Sampaio,HepatiteB,6218
AL_Joao_Sampaio,Pentavalente,6218
AL_Joao_Sampaio,VIP,6218
AL_Joao_Sampaio,VOP,6218
AL_Joao_Sampaio,FebreAmarela,6218
AL_Joao_Sampaio,TripliceViral,6218
AL_Osvaldo_Brandao,BCG,6218
AL_Osvaldo_Brandao,HepatiteB,6218
AL_Osvaldo_Brandao,Pentavalente,6218
AL_Osvaldo_Brandao,VIP,6218
AL_Osvaldo_Brandao,VOP,6218
AL_Osvaldo_Brandao,FebreAmarela,6218
AL_Osvaldo_Brandao,TripliceViral,6218
SE_Fernando_Sampaio,BCG,3943
SE_Fernando_Sampaio,HepatiteB,3943
SE_Fernando_Sampaio,Pentavalente,3943
SE_Fernando_Sampaio,VIP,3943
SE_Fernando_Sampaio,VOP,3943
SE_Fernando_Sampaio,FebreAmarela,3943
SE_Fernando_Sampaio,TripliceViral,3943
SE_Francisco_Fonseca,BCG,3943
SE_Francisco_Fonseca,HepatiteB,3943
SE_Francisco_Fonseca,Pentavalente,3943
SE_Francisco_Fonseca,VIP,3943
SE_Francisco_Fonseca,VOP,3943
SE_Francisco_Fonseca,FebreAmarela,3943
SE_Francisco_Fonseca,TripliceViral,3943
BA_Virgilio_de_Carvalho,BCG,16026
BA_Virgilio_de_Carvalho,HepatiteB,16026
BA_Virgilio_de_Carvalho,Pentavalente,16026
BA_Virgilio_de_Carvalho,VIP,16026
BA_Virgilio_de_Carvalho,VOP,16026
BA_Virgilio_de_Carvalho,FebreAmarela,16026
BA_Virgilio_de_Carvalho,TripliceViral,16026
BA_Santo_Antonio,BCG,16026
BA_Santo_Antonio,HepatiteB,16026
BA_Santo_Antonio,Pentavalente,16026
BA_Santo_Antonio,VIP,16026
BA_Santo_Antonio,VOP,16026
BA_Santo_Antonio,FebreAmarela,16026
BA_Santo_Antonio,TripliceViral,16026
MG_Saude_Paraiso,BCG,15099
MG_Saude_Paraiso,HepatiteB,15099
MG_Saude_Paraiso,Pentavalente,15099
MG_Saude_Paraiso,VIP,15099
MG_Saude_Paraiso,VOP,15099
MG_Saude_Paraiso,FebreAmarela,15099
MG_Saude_Paraiso,TripliceViral,15099
MG_Campo_Alegre,BCG,15099
MG_Campo_Alegre,HepatiteB,15099
MG_Campo_Alegre,Pentavalente,15099
MG_Campo_Alegre,VIP,15099
MG_Campo_Alegre,VOP,15099
MG_Campo_Alegre,FebreAmarela,15099
MG_Campo_Alegre,TripliceViral,15099
ES_Grande_Vitória,BCG,2146
ES_Grande_Vitória,HepatiteB,2146
ES_Grande_Vitória,Pentavalente,2146
ES_Grande_Vitória,VIP,2146
ES_Grande_Vitória,VOP,2146
ES_Grande_Vitória,FebreAmarela,2146
ES_Grande_Vitória,TripliceViral,2146
ES_Maria_Ortiz,BCG,2146
ES_Maria_Ortiz,HepatiteB,2146
ES_Maria_Ortiz,Pentavalente,2146
ES_Maria_Ortiz,VIP,2146
ES_Maria_Ortiz,VOP,2146
ES_Maria_Ortiz,FebreAmarela,2146
ES_Maria_Ortiz,TripliceViral,2146
RJ_Heitor_Beltrao,BCG,42067
RJ_Heitor_Beltrao,HepatiteB,42067
RJ_Heitor_Beltrao,Pentavalente,42067
RJ_Heitor_Beltrao,VIP,42067
RJ_Heitor_Beltrao,VOP,42067
RJ_Heitor_Beltrao,FebreAmarela,42067
RJ_Heitor_Beltrao,TripliceViral,42067
RJ_Ernani_Agricola,BCG,42067
RJ_Ernani_Agricola,HepatiteB,42067
RJ_Ernani_Agricola,Pentavalente,42067
RJ_Ernani_Agricola,VIP,42067
RJ_Ernani_Agricola,VOP,42067
RJ_Ernani_Agricola,FebreAmarela,42067
RJ_Ernani_Agricola,TripliceViral,42067
SP_Mar_Paulista,BCG,74406
SP_Mar_Paulista,HepatiteB,74406
SP_Mar_Paulista,Pentavalente,74406
SP_Mar_Paulista,VIP,74406
SP_Mar_Paulista,VOP,74406
SP_Mar_Paulista,FebreAmarela,74406
SP_Mar_Paulista,TripliceViral,74406
SP_Mooca_I,BCG,74406
SP_Mooca_I,HepatiteB,74406
SP_Mooca_I,Pentavalente,74406
SP_Mooca_I,VIP,74406
SP_Mooca_I,VOP,74406
SP_Mooca_I,FebreAmarela,74406
SP_Mooca_I,TripliceViral,74406
PR_Bacacheri,BCG,11442
PR_Bacacheri,HepatiteB,11442
PR_Bacacheri,Pentavalente,11442
PR_Bacacheri,VIP,11442
PR_Bacacheri,VOP,11442
PR_Bacacheri,FebreAmarela,11442
PR_Bacacheri,TripliceViral,11442
PR_Bairro_Alto,BCG,11442
PR_Bairro_Alto,HepatiteB,11442
PR_Bairro_Alto,Pentavalente,11442
PR_Bairro_Alto,VIP,11442
PR_Bairro_Alto,VOP,11442
PR_Bairro_Alto,FebreAmarela,11442
PR_Bairro_Alto,TripliceViral,11442
SC_Jurere,BCG,3671
SC_Jurere,HepatiteB,3671
SC_Jurere,Pentavalente,3671
SC_Jurere,VIP,3671
SC_Jurere,VOP,3671
SC_Jurere,FebreAmarela,3671
SC_Jurere,TripliceViral,3671
SC_Joao_Paulo,BCG,3671
SC_Joao_Paulo,HepatiteB,3671
SC_Joao_Paulo,Pentavalente,3671
SC_Joao_Paulo,VIP,3671
SC_Joao_Paulo,VOP,3671
SC_Joao_Paulo,FebreAmarela,3671
SC_Joao_Paulo,TripliceViral,3671
RS_Bananeiras,BCG,8679
RS_Bananeiras,HepatiteB,8679
RS_Bananeiras,Pentavalente,8679
RS_Bananeiras,VIP,8679
RS_Bananeiras,VOP,8679
RS_Bananeiras,FebreAmarela,8679
RS_Bananeiras,TripliceViral,8679
RS_Farrapos,BCG,8679
RS_Farrapos,HepatiteB,8679
RS_Farrapos,Pentavalente,8679
RS_Farrapos,VIP,8679
RS_Farrapos,VOP,8679
RS_Farrapos,FebreAmarela,8679
RS_Farrapos,TripliceViral,8679
MS_Pastor_Eliseu,BCG,6018
MS_Pastor_Eliseu,HepatiteB,6018
MS_Pastor_Eliseu,Pentavalente,6018
MS_Pastor_Eliseu,VIP,6018
MS_Pastor_Eliseu,VOP,6018
MS_Pastor_Eliseu,FebreAmarela,6018
MS_Pastor_Eliseu,TripliceViral,6018
MS_Jardim_Noroeste,BCG,6018
MS_Jardim_Noroeste,HepatiteB,6018
MS_Jardim_Noroeste,Pentavalente,6018
MS_Jardim_Noroeste,VIP,6018
MS_Jardim_Noroeste,VOP,6018
MS_Jardim_Noroeste,FebreAmarela,6018
MS_Jardim_Noroeste,TripliceViral,6018
MT_Dom_Aquino,BCG,4324
MT_Dom_Aquino,HepatiteB,4324
MT_Dom_Aquino,Pentavalente,4324
MT_Dom_Aquino,VIP,4324
MT_Dom_Aquino,VOP,4324
MT_Dom_Aquino,FebreAmarela,4324
MT_Dom_Aquino,TripliceViral,4324
MT_PEDREGAL_II,BCG,4324
MT_PEDREGAL_II,HepatiteB,4324
MT_PEDREGAL_II,Pentavalente,4324
MT_PEDREGAL_II,VIP,4324
MT_PEDREGAL_II,VOP,4324
MT_PEDREGAL_II,FebreAmarela,4324
MT_PEDREGAL_II,TripliceViral,4324
GO_Fama,BCG,9395
GO_Fama,HepatiteB,9395
GO_Fama,Pentavalente,9395
GO_Fama,VIP,9395
GO_Fama,VOP,9395
GO_Fama,FebreAmarela,9395
GO_Fama,TripliceViral,9395
GO_Jose_do_Egito,BCG,9395
GO_Jose_do_Egito,HepatiteB,9395
GO_Jose_do_Egito,Pentavalente,9395
GO_Jose_do_Egito,VIP,9395
GO_Jose_do_Egito,VOP,9395
GO_Jose_do_Egito,FebreAmarela,9395
GO_Jose_do_Egito,TripliceViral,9395
DF_Num_9,BCG,18730
DF_Num_9,HepatiteB,18730
DF_Num_9,Pentavalente,18730
DF_Num_9,VIP,18730
DF_Num_9,VOP,18730
DF_Num_9,FebreAmarela,18730
DF_Num_9,TripliceViral,18730
DF_Num_13,BCG,18730
DF_Num_13,HepatiteB,18730
DF_Num_13,Pentavalente,18730
DF_Num_13,VIP,18730
DF_Num_13,VOP,18730
DF_Num_13,FebreAmarela,18730
DF_Num_13,TripliceViral,18730
