municipio,vacina,tempo
Fortaleza,FebreAmarela,3900
Fortaleza,TripliceViral,2350
Natal,BCG,530
Natal,HepatiteB,3050
Natal,Pentavalente,2050
Natal,VIP,3300
Natal,VOP,1400
Natal,FebreAmarela,3550
Natal,TripliceViral,2150
JoaoPessoa,BCG,540
JoaoPessoa,HepatiteB,3100
JoaoPessoa,Pentavalente,2100
JoaoPessoa,VIP,3350
JoaoPessoa,VOP,1420
JoaoPessoa,FebreAmarela,3600
JoaoPessoa,TripliceViral,2200
Recife,BCG,570
Recife,HepatiteB,3300
Recife,Pentavalente,2200
Recife,VIP,3550
Recife,VOP,1500
Recife,FebreAmarela,3800
Recife,TripliceViral,2300
Maceio,BCG,535
Maceio,HepatiteB,3050
Maceio,Pentavalente,2100
Maceio,VIP,3350
Maceio,VOP,1400
Maceio,FebreAmarela,3600
Maceio,TripliceViral,2200
Aracaju,BCG,520
Aracaju,HepatiteB,3000
Aracaju,Pentavalente,2000
Aracaju,VIP,3200
Aracaju,VOP,1350
Aracaju,FebreAmarela,3500
Aracaju,TripliceViral,2100
Salvador,BCG,600
Salvador,HepatiteB,3500
Salvador,Pentavalente,2300
Salvador,VIP,3800
Salvador,VOP,1600
Salvador,FebreAmarela,4000
Salvador,TripliceViral,2400
BeloHorizonte,BCG,580
BeloHorizonte,HepatiteB,3350
BeloHorizonte,Pentavalente,2200
BeloHorizonte,VIP,3600
BeloHorizonte,VOP,1500
BeloHorizonte,FebreAmarela,3800
BeloHorizonte,TripliceViral,2300
Vitoria,BCG,500
Vitoria,HepatiteB,2900
Vitoria,Pentavalente,2000
Vitoria,VIP,3150
Vitoria,VOP,1350
Vitoria,FebreAmarela,3400
Vitoria,TripliceViral,2100
RioDeJaneiro,BCG,610
RioDeJaneiro,HepatiteB,3600
RioDeJaneiro,Pentavalente,2400
RioDeJaneiro,VIP,3900
RioDeJaneiro,VOP,1650
RioDeJaneiro,FebreAmarela,4100
RioDeJaneiro,TripliceViral,2500
SaoPaulo,BCG,620
SaoPaulo,HepatiteB,3650
SaoPaulo,Pentavalente,2450
SaoPaulo,VIP,3950
SaoPaulo,VOP,1700
SaoPaulo,FebreAmarela,4200
SaoPaulo,TripliceViral,2550
Curitiba,BCG,570
Curitiba,HepatiteB,3300
Curitiba,Pentavalente,2200
Curitiba,VIP,3550
Curitiba,VOP,1500
Curitiba,FebreAmarela,3800
Curitiba,TripliceViral,2300
Florianopolis,BCG,550
Florianopolis,HepatiteB,3200
Florianopolis,Pentavalente,2100
Florianopolis,VIP,3450
Florianopolis,VOP,1450
Florianopolis,FebreAmarela,3700
Florianopolis,TripliceViral,2250
PortoAlegre,BCG,580
PortoAlegre,HepatiteB,3350
PortoAlegre,Pentavalente,2200
PortoAlegre,VIP,3600
PortoAlegre,VOP,1500
PortoAlegre,FebreAmarela,3800
PortoAlegre,TripliceViral,2300
CampoGrande,BCG,540
CampoGrande,HepatiteB,3100
CampoGrande,Pentavalente,2100
CampoGrande,VIP,3350
CampoGrande,VOP,1400
CampoGrande,FebreAmarela,3600
CampoGrande,TripliceViral,2200
Cuiaba,BCG,530
Cuiaba,HepatiteB,3050
Cuiaba,Pentavalente,2050
Cuiaba,VIP,3300
Cuiaba,VOP,1400
Cuiaba,FebreAmarela,3550
Cuiaba,TripliceViral,2150
Goiania,BCG,560
Goiania,HepatiteB,3250
Goiania,Pentavalente,2150
Goiania,VIP,3500
Goiania,VOP,1450
Goiania,FebreAmarela,3700
Goiania,TripliceViral,2250
Brasilia,BCG,600
Brasilia,HepatiteB,3500
Brasilia,Pentavalente,2300
Brasilia,VIP,3800
Brasilia,VOP,1600
Brasilia,FebreAmarela,4000
Brasilia,TripliceViral,2400
