municipio,vacina,oferta
Goiania,VIP,26268
Brasilia,VIP,48970
PortoVelho,VOP,8411
RioBranco,VOP,6434
Manaus,VOP,33444
BoaVista,VOP,7191
Belem,VOP,20221
Macapa,VOP,7925
Palmas,VOP,4730
SaoLuis,VOP,18507
Teresina,VOP,15339
Fortaleza,VOP,36310
Natal,VOP,12552
JoaoPessoa,VOP,14154
Recife,VOP,23415
Maceio,VOP,14130
Aracaju,VOP,8733
Salvador,VOP,40387
BeloHorizonte,VOP,35529
Vitoria,VOP,5750
RioDeJaneiro,VOP,93758
SaoPaulo,VOP,188460
Curitiba,VOP,25728
Florianopolis,VOP,9771
PortoAlegre,VOP,22876
CampoGrande,VOP,16831
Cuiaba,VOP,10787
Goiania,VOP,23486
Brasilia,VOP,50551
PortoVelho,FebreAmarela,8209
RioBranco,FebreAmarela,6247
Manaus,FebreAmarela,32410
BoaVista,FebreAmarela,7647
Belem,FebreAmarela,23315
Macapa,FebreAmarela,7758
Palmas,FebreAmarela,4536
SaoLuis,FebreAmarela,15440
Teresina,FebreAmarela,15667
Fortaleza,FebreAmarela,39318
Natal,FebreAmarela,13203
JoaoPessoa,FebreAmarela,12761
Recife,FebreAmarela,26961
Maceio,FebreAmarela,16170
Aracaju,FebreAmarela,8789
Salvador,FebreAmarela,36021
BeloHorizonte,FebreAmarela,41346
Vitoria,FebreAmarela,4821
RioDeJaneiro,FebreAmarela,102675
SaoPaulo,FebreAmarela,202567
Curitiba,FebreAmarela,25897
Florianopolis,FebreAmarela,10248
PortoAlegre,FebreAmarela,20323
CampoGrande,FebreAmarela,14357
Cuiaba,FebreAmarela,9844
Goiania,FebreAmarela,23922
Brasilia,FebreAmarela,48802
PortoVelho,TripliceViral,8183
RioBranco,TripliceViral,5747
Manaus,TripliceViral,37254
BoaVista,TripliceViral,7989
Belem,TripliceViral,21914
Macapa,TripliceViral,7432
Palmas,TripliceViral,5227
SaoLuis,TripliceViral,18676
Teresina,TripliceViral,15530
Fortaleza,TripliceViral,39878
Natal,TripliceViral,13310
JoaoPessoa,TripliceViral,13976
Recife,TripliceViral,26536
Maceio,TripliceViral,14084
Aracaju,TripliceViral,8949
Salvador,TripliceViral,39877
BeloHorizonte,TripliceViral,35958
Vitoria,TripliceViral,4797
RioDeJaneiro,TripliceViral,104439
SaoPaulo,TripliceViral,165256
Curitiba,TripliceViral,27850
Florianopolis,TripliceViral,9585
PortoAlegre,TripliceViral,22717
CampoGrande,TripliceViral,16501
Cuiaba,TripliceViral,10913
Goiania,TripliceViral,20872
Brasilia,TripliceViral,41235
